customer_id,avg_monthly_expenditure,sd_monthly_expenditure,num_monthly_visit,customer_city,customer_state_province,marital_status,gender,num_children_at_home,days_visited,income,age,num_stores
11,3.6958333333333333,12.802742219279951,1,La Mesa,CA,S,M,0,1,60000,31,0
12,1.39,4.815101245041479,1,Chula Vista,CA,S,F,0,1,40000,27,0
14,4.970833333333333,7.641599616374159,4,Lincoln Acres,CA,M,F,2,4,60000,86,0
18,2.2066666666666666,7.644117564070645,1,Altadena,CA,M,M,2,1,40000,84,0
20,16.105,30.064495671805307,4,Spring Valley,CA,S,F,0,5,20000,24,0
23,4.041666666666667,14.000744027848425,1,La Jolla,CA,S,F,0,1,40000,82,0
26,5.694166666666667,10.686485482594218,3,Burbank,CA,S,M,0,3,20000,44,0
31,1.5199999999999998,5.265434455009387,1,Concord,CA,M,F,3,1,60000,20,0
34,11.034166666666668,30.485296145200987,2,La Mesa,CA,M,F,1,3,60000,79,0
38,8.68,13.862881112065873,4,Arcadia,CA,S,M,0,4,40000,40,0
43,7.134166666666667,15.557270418643109,3,Burbank,CA,S,F,0,3,60000,21,0
44,2.2958333333333334,7.952999958087095,1,Bellflower,CA,S,M,0,1,40000,81,0
49,0.4716666666666667,1.633901261806641,1,Arcadia,CA,S,F,0,1,40000,68,0
50,4.245833333333334,14.707998107605718,1,Altadena,CA,S,M,0,1,120000,76,0
55,9.904166666666667,18.428709548041084,3,Grossmont,CA,M,M,2,3,20000,74,0
62,2.5425,5.461724877395751,3,Santa Monica,CA,M,M,1,3,40000,67,0
70,5.230833333333333,12.218273541435112,2,Coronado,CA,M,M,0,2,40000,26,0
77,9.41,25.088452251257678,2,Downey,CA,S,M,0,2,60000,77,0
80,5.6525,14.661293583632194,3,Lemon Grove,CA,S,F,0,3,80000,52,0
83,5.165,10.541657192473883,3,Arcadia,CA,S,F,0,3,120000,29,0
89,2.254166666666667,7.808662390789689,1,Woodland Hills,CA,S,F,0,1,80000,24,0
