customer_city,marital_status,gender,num_children_at_home,income,age,store_type,highOrLow,education,member_card,occupation,homeowner
Issaquah,M,F,1,60000,88,No Store,0,Bachelors Degree,Bronze,Professional,Y
Lynnwood,S,F,0,80000,56,No Store,0,Bachelors Degree,Bronze,Professional,Y
Renton,S,M,0,40000,80,No Store,0,High School Degree,Normal,Manual,Y
Anacortes,M,F,1,40000,64,No Store,0,High School Degree,Bronze,Manual,Y
Everett,S,F,0,20000,28,No Store,0,Partial High School,Silver,Manual,Y
Renton,S,M,0,60000,82,No Store,0,Bachelors Degree,Golden,Management,Y
Ballard,S,M,0,60000,33,No Store,0,Bachelors Degree,Bronze,Professional,Y
Lynnwood,S,F,0,40000,85,No Store,0,High School Degree,Bronze,Manual,N
Port Orchard,S,F,0,80000,81,No Store,0,High School Degree,Normal,Professional,N
Tacoma,S,M,0,80000,41,Deluxe Supermarket,0,Bachelors Degree,Bronze,Management,Y
Port Orchard,S,F,0,40000,64,No Store,1,Bachelors Degree,Bronze,Professional,N
Bremerton,S,M,0,60000,85,Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Ballard,S,F,0,120000,51,No Store,0,Partial College,Normal,Professional,Y
Everett,S,M,0,20000,66,No Store,0,Partial High School,Normal,Skilled Manual,Y
Lynnwood,M,M,3,150000,42,No Store,0,Bachelors Degree,Golden,Professional,Y
Renton,M,F,1,60000,40,No Store,0,Bachelors Degree,Golden,Professional,Y
Kirkland,S,M,0,80000,48,No Store,0,High School Degree,Bronze,Management,N
Seattle,M,F,1,40000,69,Supermarket,0,High School Degree,Bronze,Manual,Y
Ballard,S,F,0,150000,45,No Store,0,High School Degree,Silver,Professional,Y
Tacoma,M,F,1,140000,37,Deluxe Supermarket,0,Partial College,Bronze,Management,Y
Renton,M,F,1,100000,37,No Store,0,Partial High School,Golden,Professional,N
Walla Walla,M,F,3,20000,35,Small Grocery,0,Partial High School,Normal,Manual,N
Seattle,S,F,0,60000,53,Supermarket,0,Bachelors Degree,Bronze,Professional,N
Bremerton,S,F,0,40000,33,Supermarket,0,High School Degree,Bronze,Manual,N
Everett,M,F,1,120000,74,No Store,0,Graduate Degree,Bronze,Management,Y
Edmonds,S,M,0,20000,75,No Store,0,Partial High School,Normal,Manual,Y
Spokane,M,F,0,60000,21,Supermarket,0,Bachelors Degree,Bronze,Professional,Y
Olympia,S,F,0,80000,74,No Store,0,High School Degree,Bronze,Professional,N
Lynnwood,M,F,2,40000,76,No Store,0,Partial College,Bronze,Skilled Manual,Y
Bellingham,M,M,0,20000,55,Small Grocery,0,Partial High School,Normal,Manual,Y
Sedro Woolley,M,M,2,140000,24,No Store,0,High School Degree,Bronze,Professional,N
Sedro Woolley,S,F,0,20000,79,No Store,0,Partial High School,Normal,Manual,N
Everett,S,M,0,140000,32,No Store,0,High School Degree,Bronze,Management,Y
Walla Walla,M,M,3,40000,60,Small Grocery,0,High School Degree,Golden,Manual,Y
Marysville,S,F,0,40000,77,No Store,0,Partial High School,Bronze,Skilled Manual,N
Sedro Woolley,S,F,0,140000,42,No Store,0,Bachelors Degree,Bronze,Professional,N
Everett,S,F,0,40000,71,No Store,0,Partial High School,Bronze,Skilled Manual,Y
Redmond,M,M,0,150000,83,No Store,0,High School Degree,Golden,Management,Y
Burien,M,F,0,80000,41,No Store,0,Bachelors Degree,Bronze,Management,N
Burien,M,F,1,20000,58,No Store,0,High School Degree,Normal,Manual,Y
Anacortes,S,F,0,40000,55,No Store,0,Partial High School,Bronze,Skilled Manual,Y
Tacoma,S,F,0,40000,68,Deluxe Supermarket,0,High School Degree,Bronze,Skilled Manual,N
Bellingham,M,M,1,20000,67,Small Grocery,0,Partial High School,Normal,Manual,Y
Olympia,M,M,0,20000,63,No Store,1,Partial High School,Bronze,Skilled Manual,Y
Bellingham,S,F,0,20000,53,Small Grocery,0,Partial High School,Normal,Manual,N
Sedro Woolley,M,M,0,140000,75,No Store,0,High School Degree,Bronze,Professional,Y
Yakima,M,F,2,150000,56,Mid-Size Grocery,0,Partial High School,Golden,Management,Y
Bremerton,S,F,0,20000,67,Supermarket,0,Partial High School,Normal,Manual,N
Bellingham,M,M,1,20000,31,Small Grocery,0,Partial High School,Bronze,Manual,Y
Lynnwood,M,F,1,40000,52,No Store,0,Partial College,Bronze,Professional,Y
Spokane,S,M,0,40000,29,Supermarket,1,Partial College,Silver,Manual,Y
Anacortes,S,M,0,20000,65,No Store,0,Partial High School,Normal,Skilled Manual,N
Walla Walla,M,M,0,40000,68,Small Grocery,0,High School Degree,Bronze,Skilled Manual,N
Yakima,M,F,0,60000,78,Mid-Size Grocery,0,Bachelors Degree,Bronze,Management,Y
Redmond,M,M,1,20000,69,No Store,0,High School Degree,Normal,Manual,Y
Walla Walla,S,F,0,60000,36,Small Grocery,0,Bachelors Degree,Bronze,Professional,N
Edmonds,M,M,3,80000,55,No Store,0,Bachelors Degree,Silver,Professional,Y
Spokane,S,M,0,100000,22,Supermarket,1,Partial High School,Bronze,Professional,Y
